fund,property_code,property,property_name_clean,suite,lease_start,lease_end,lease_term_months,remaining_term_months,security_deposit,market,data_quality_flag,lease,lease_type,term,tenancy,monthly,monthly_.1,annual,annual_.1,annual_.2,annual_.3,loc_amount_,fund_derived
FUND 2,xohmost,12080 Mosteller Road (xohmost),12080 Mosteller Road,D,2022-03-01,2029-05-31,87.0,45.7,,114027.0,,Rite Rug Co. (t0000688),Industrial Net,87.0,3.33,36393.62,0.32,436723.44,3.83,1.75,0,0,Fund 2
FUND 2,xohmost,12080 Mosteller Road (xohmost),12080 Mosteller Road,PARK,2023-11-01,2026-10-31,36.0,14.7,,0.0,,ORAS EXPRESS LLC (t0001072),Modified Gross,36.0,1.67,3675,0,44100,0,0,0,0,Fund 2
FUND 2,xpa12111,1211 Ford Road (xpa12111),1211 Ford Road,1211,,,,,,106045.0,,VACANT,,,,,,,,,,,Fund 2
FUND 2,xpa18rai,18 Railroad Street (xpa18rai),18 Railroad Street,100,2026-02-01,2029-04-30,38.9,44.6,0.0,100695.0,,"* Bengal GRP, LLC (t0001428)",Industrial Net,39.0,-0.58,71675.01,0.71,860100.12,8.54,1.58,0,0,Fund 2
FUND 2,xpa18rai,18 Railroad Street (xpa18rai),18 Railroad Street,200,2022-01-14,2029-04-30,87.5,44.6,,189746.0,,"Bengal Converting Services, Inc. (t0000702)",Industrial Net,88.0,3.5,108945.83,0.57,1307349.96,6.89,1.09,0,0,Fund 2
FUND 2,xpa1peae,1 Pearl Buck Court (xpa1peae),1 Pearl Buck Court,A,2020-01-01,2028-01-31,97.0,29.7,0.0,14000.0,,"DUBOIS CHEMICALS, INC. (t0000534)",Industrial Net,97.0,5.5,12250,0.88,147000,10.5,5.22,0,0,Fund 2
FUND 2,xpa1peae,1 Pearl Buck Court (xpa1peae),1 Pearl Buck Court,B,2015-01-19,2028-01-31,156.4,29.7,,9711.0,,Northeast-Western Energy Systems USA LLC (t0000535),Industrial Net,157.0,10.5,8419.44,0.87,101033.28,10.4,4.96,0,0,Fund 2
FUND 2,xpa3041m,3041 Marwin Road (xpa3041m),3041 Marwin Road,"A,  B,  B1",2023-04-01,2030-03-31,84.0,55.7,,34895.0,,AFS World Truck Repair LP (t0000882),Industrial Net,84.0,2.25,29151.17,0.84,349814.04,10.02,2.22,4.27,0,Fund 2
FUND 2,xpa3041m,3041 Marwin Road (xpa3041m),3041 Marwin Road,A1,2024-12-01,2030-02-28,62.9,54.6,,40492.0,,Mitchell Industrial Tire Company (t0001371),Industrial Net,63.0,0.58,35430.5,0.88,425166,10.5,2.22,0,0,Fund 2
FUND 2,xpa4200m,4200 Macalester Street (xpa4200m),4200 Macalester Street,4200,2020-03-15,2030-03-14,119.9,55.1,0.0,40791.0,,"Ehmke Manufacturing Co., Inc (t0000747)",Modified Gross,120.0,5.33,19093.97,0.47,229127.64,5.62,0.72,0,0,Fund 2
FUND 2,xpa500ma,500 Maryland Avenue (xpa500ma),500 Maryland Avenue,500,2016-10-01,2026-09-30,119.9,13.7,0.0,138391.0,,Federal Express Corporation (t0000748),Modified Gross,120.0,8.75,48750,0.35,585000,4.23,1.31,0,0,Fund 2
FUND 2,xpa500ma,500 Maryland Avenue (xpa500ma),500 Maryland Avenue,B,,,,,,11729.0,,VACANT,,,,,,,,,,,Fund 2
FUND 2,xtn225bo,225 Bobrick Drive (xtn225bo),225 Bobrick Drive,101,2022-01-01,2028-12-31,84.0,40.7,,45820.0,,"Forestwood Farms, Inc. (t0000652)",Industrial Net,84.0,3.5,13555.08,0.3,162660.96,3.55,0.93,0,0,Fund 2
FUND 2,xtn225bo,225 Bobrick Drive (xtn225bo),225 Bobrick Drive,229,2004-09-15,2026-05-31,260.4,9.7,0.0,20840.0,,"Garrard and Woodside, LLC (t0000523)",Industrial Net,261.0,20.83,4000,0.19,48000,2.3,0.59,0,0,Fund 2
FUND 2,xtn225bo,225 Bobrick Drive (xtn225bo),225 Bobrick Drive,103,,,,,,33340.0,,VACANT,,,,,,,,,,,Fund 2
FUND 2,xtn3961o,3961 Outland Drive (xtn3961o),3961 Outland Drive,3961,2023-02-01,2026-02-28,36.9,6.6,,74906.0,,McMillon Logistics (t0000999),Industrial Net,37.0,2.42,28401.86,0.38,340822.32,4.55,1.64,0,0,Fund 2
FUND 2,xtndelp1,4290 Delp Street (xtndelp1),4290 Delp Street,4290,2023-11-01,2028-10-31,60.0,38.7,,41496.0,,Crown Packaging (MO Corp) (t0001060),Industrial Net,60.0,1.67,14800.24,0.36,177602.88,4.28,1.51,0,0,Fund 2
FUND 2,xtndelp1,4290 Delp Street (xtndelp1),4290 Delp Street,4310,2016-10-04,2026-08-31,118.9,12.7,,22743.0,,"Storopack, Inc. (t0000449)",Industrial Net,119.0,8.75,8149.58,0.36,97794.96,4.3,1.46,0,0,Fund 2
FUND 2,xtndelp1,4290 Delp Street (xtndelp1),4290 Delp Street,4318,2023-01-01,2025-12-31,36.0,4.7,,25137.0,,Darby Dental (t0000967),Industrial Net,36.0,2.5,7629.83,0.3,91557.96,3.64,1.51,0,0,Fund 2
FUND 2,xtndelp1,4290 Delp Street (xtndelp1),4290 Delp Street,4354,2022-01-01,2025-12-31,48.0,4.7,,63840.0,,"KPower Global Logistics, LLC (t0000638)",Industrial Net,48.0,3.5,20748,0.32,248976,3.9,1.51,0,0,Fund 2
FUND 2,xtndelp2,4319 Delp Street (xtndelp2),4319 Delp Street,4319B,2021-04-08,2026-04-30,60.7,8.6,,72000.0,,Bel-Shore Enterprises (t0000691),Industrial Net,61.0,4.25,17550.62,0.24,210607.44,2.93,1.35,0,0,Fund 2
FUND 2,xtndelp2,4319 Delp Street (xtndelp2),4319 Delp Street,4319A,,,,,,72000.0,,VACANT,,,,,,,,,,,Fund 2
FUND 2,xtx1050k,10501 King William Drive (xtx1050k),10501 King William Drive,10501,2022-08-01,2029-09-30,86.0,49.7,,4691.0,,"Sky House Distribution, Inc. (t0000819)",Industrial Net,86.0,2.92,3720.75,0.79,44649,9.52,3,0,0,Fund 2
FUND 2,xtx1050k,10501 King William Drive (xtx1050k),10501 King William Drive,10507,2022-05-16,2029-09-30,88.5,49.7,,5036.0,,"Sky House Distribution, Inc. (t0000822)",Industrial Net,89.0,3.17,3928.08,0.78,47136.96,9.36,3,0,0,Fund 2
FUND 2,xtx1050k,10501 King William Drive (xtx1050k),10501 King William Drive,10511,2023-11-01,2028-10-31,60.0,38.7,,5423.0,,Stone Select LLC (t0001091),Industrial Net,60.0,1.67,4229.94,0.78,50759.28,9.36,2.05,0,0,Fund 2
FUND 2,xtx1050k,10501 King William Drive (xtx1050k),10501 King William Drive,10515,2023-09-01,2026-08-31,36.0,12.7,,6635.0,,AMG Stone Inc. (t0001056),Industrial Net,36.0,1.83,5175.3,0.78,62103.6,9.36,3,0,0,Fund 2
FUND 2,xtx1050k,10501 King William Drive (xtx1050k),10501 King William Drive,10519,2022-05-16,2026-05-31,48.5,9.7,,7490.0,,Clean Energy (t0000826),Industrial Net,49.0,3.17,6073.14,0.81,72877.68,9.73,3,0,0,Fund 2
FUND 2,xtx1050k,10501 King William Drive (xtx1050k),10501 King William Drive,"10529,  11523",2022-05-16,2028-06-30,73.5,34.7,,12665.0,,Nidia Valadez and Alejandro Contreras (t0000824),Industrial Net,74.0,3.17,10269.2,0.81,123230.4,9.73,3,0,0,Fund 2
FUND 2,xtx1050k,10501 King William Drive (xtx1050k),10501 King William Drive,10537,,,,,,6525.0,,VACANT,,,,,,,,,,,Fund 2
FUND 2,xtx10704,10704 - 10710 Composite Drive  (xtx10704),10704 - 10710 Composite Drive,10704,2020-01-01,2027-12-31,96.0,28.7,,27300.0,,"4-Star Air, Hydraulics, Industrial Hose & Supply, Inc. (t0000762)",Industrial Net,96.0,5.5,17833.1,0.65,213997.2,7.84,2.56,0,0,Fund 2
FUND 2,xtx111pl,11100 Plano Road (xtx111pl),11100 Plano Road,11100,2018-06-07,2038-06-06,239.9,153.8,,136882.0,,"Guardian Building Products, Inc. (t0000706)",Industrial Net,240.0,7.08,62572.93,0.46,750875.16,5.49,1.3,0,0,Fund 2
FUND 2,xtx1121,1121 108th Street  (xtx1121),1121 108th Street,A,2023-02-10,2028-03-31,61.6,31.7,,50545.0,,Express Flooring (t0000994),Industrial Net,62.0,2.42,29157.05,0.58,349884.6,6.92,2.11,0,0,Fund 2
FUND 2,xtx1121,1121 108th Street  (xtx1121),1121 108th Street,B,,,,,,15780.0,,VACANT,,,,,,,,,,,Fund 2
FUND 2,xtx11839,11839 Shiloh Rd (xtx11839),11839 Shiloh Rd,11839,2022-05-19,2025-08-31,39.4,0.7,,99750.0,,"Economy Tire, Inc. (t0000818)",Industrial Net,40.0,3.17,68987.1,0.69,827845.2,8.3,1.59,0,0,Fund 2
FUND 2,xtx12150,12150 Shiloh Road (xtx12150),12150 Shiloh Road,104,2018-10-22,2028-09-30,119.3,37.7,,11436.0,,Tex Sun Shade  (t0000701),Industrial Net,120.0,6.75,8742.19,0.76,104906.28,9.17,3.35,0,0,Fund 2
FUND 2,xtx12150,12150 Shiloh Road (xtx12150),12150 Shiloh Road,112,2018-04-01,2028-03-31,120.0,31.7,,10495.0,,TAJA LLC dba East Dallas Diesel  (t0000698),Industrial Net,120.0,7.25,7094.62,0.68,85135.44,8.11,3.34,0,0,Fund 2
FUND 2,xtx12150,12150 Shiloh Road (xtx12150),12150 Shiloh Road,120,2018-08-01,2025-09-30,86.0,1.7,,20551.0,,Man Sports LLC  (t0000697),Industrial Net,86.0,6.92,8343.26,0.41,100119.12,4.87,3.34,0,0,Fund 2
FUND 2,xtx1709s,I-45 Logistics Center (xtx1709s),I-45 Logistics Center,100,2021-07-20,2027-10-31,75.4,26.7,,150018.0,,"Baker Triangle Prefab, LTD (t0000790)",Industrial Net,76.0,4,58131.98,0.39,697583.76,4.65,1.72,0,0,Fund 2
FUND 2,xtx1709s,I-45 Logistics Center (xtx1709s),I-45 Logistics Center,150,2021-12-31,2028-03-31,75.0,31.7,0.0,95281.0,,"Solstice Sleep Products, Inc.  (t0000791)",Industrial Net,76.0,3.58,32951.35,0.35,395416.2,4.15,1.72,0,0,Fund 2
FUND 2,xtx1721s,1721 Susan Dr (xtx1721s),1721 Susan Dr,1721,2020-01-15,2026-04-30,75.5,8.6,,58841.0,,"Montes de Oca, Inc. (t0000817)",Industrial Net,76.0,5.5,21648.64,0.37,259783.68,4.42,1.56,0,0,Fund 2
FUND 2,xtx1919a,1919 Avenue E (xtx1919a),1919 Avenue E,1919,2018-06-07,2038-06-06,239.9,153.8,,79970.0,,"GUARDIAN BUILDING PRODUCTS, INC.        (t0000707)",Industrial Net,240.0,7.08,28596.16,0.36,343153.92,4.29,0.49,0,0,Fund 2
FUND 2,xtx2125v,2125 Vanco Drive  (xtx2125v),2125 Vanco Drive,2125,,,,,,26532.0,,VACANT,,,,,,,,,,,Fund 2
FUND 2,xtx2445s,2445 Santa Anna Avenue (xtx2445s),2445 Santa Anna Avenue,2445,2022-05-19,2027-05-31,60.4,21.6,,40116.0,,"HIVES AND HONEY COMMERCIAL HOLDINGS, LLC (t0000807)",Industrial Net,61.0,3.17,25039.07,0.62,300468.84,7.49,2.14,0,0,Fund 2
FUND 2,xtx2616a,2616 Andjon Drive (xtx2616a),2616 Andjon Drive,2614,2023-06-01,2028-07-31,62.0,35.7,,8204.0,,Sila-M LLC (t0001024),Industrial Net,62.0,2.08,6285.36,0.77,75424.32,9.19,2.96,0,0,Fund 2
FUND 2,xtx2616a,2616 Andjon Drive (xtx2616a),2616 Andjon Drive,2616,2022-02-01,2026-05-31,51.9,9.7,,8923.0,,"Z&A Enterprises, LLC (t0000708)",Industrial Net,52.0,3.42,6803.79,0.76,81645.48,9.15,1.41,0,0,Fund 2
FUND 2,xtx2616a,2616 Andjon Drive (xtx2616a),2616 Andjon Drive,2610,,,,,,8060.0,,VACANT,,,,,,,,,,,Fund 2
FUND 2,xtx2655,2655 Freewood Drive (xtx2655),2655 Freewood Drive,2655,2018-04-15,2026-06-30,98.5,10.6,,30840.0,,LS Elite LLC (t0000759),Industrial Net,99.0,7.25,11436.5,0.37,137238,4.45,2.26,0,0,Fund 2
FUND 2,xtx310an,3101 Aniol Street (xtx310an),3101 Aniol Street,3101,2018-06-07,2038-06-06,239.9,153.8,,104000.0,,"Guardian Building Products, Inc. (t0000705)",Industrial Net,240.0,7.08,42094.07,0.4,505128.84,4.86,1.57,0,0,Fund 2
FUND 2,xtx3662m,3662-3670 Miller Park Drive (xtx3662m),3662-3670 Miller Park Drive,3662,2016-11-01,2027-04-30,125.9,20.6,,14900.0,,"Eighteen Supplies Company DBA Red Nail Designs, Inc (t0000653)",Industrial Net,126.0,8.67,5617.16,0.38,67405.92,4.52,2.15,0,0,Fund 2
FUND 2,xtx3662m,3662-3670 Miller Park Drive (xtx3662m),3662-3670 Miller Park Drive,3670,2023-04-01,2028-05-31,62.0,33.7,,26126.0,,BKS (t0001000),Industrial Net,62.0,2.25,17072.47,0.65,204869.64,7.84,2.15,0,0,Fund 2
FUND 2,xtx3857m,3857 Miller Park Drive (xtx3857m),3857 Miller Park Drive,3857,,,,,,59028.0,,VACANT,,,,,,,,,,,Fund 2
FUND 2,xtx4201n,4201 N Beach Street (xtx4201n),4201 N Beach Street,100,2005-12-03,2032-12-31,324.9,88.7,,182500.0,,"KPS Global, LLC  (t0000696)",Industrial Net,325.0,19.58,108338.79,0.59,1300065.48,7.12,1.68,1.05,0,Fund 2
FUND 2,xtx4666d,4666 Duncanville Road (xtx4666d),4666 Duncanville Road,4666,2022-06-21,2027-12-31,66.3,28.7,,162792.0,,"Keller Warehousing & Co-Packaging, LLC (t0000846)",Industrial Net,67.0,3.08,56849.07,0.35,682188.84,4.19,1.2,0,0,Fund 2
FUND 2,xtx467wa,4679 Walzem Road (xtx467wa),4679 Walzem Road,4679,2017-01-01,2026-12-31,119.9,16.7,,40394.0,,Minor Moving LLC (t0000780),Industrial Net,120.0,8.5,25485.92,0.63,305831.04,7.57,2.47,0,0,Fund 2
FUND 2,xtx467wa,4679 Walzem Road (xtx467wa),4679 Walzem Road,AD,1994-05-15,2034-05-13,479.9,105.1,0.0,0.0,,Clear Channel (t0000943),Industrial Net,480.0,31.17,6000,0,72000,0,0,0,0,Fund 2
FUND 2,xtx8154b,8154 Bracken Creek Drive (xtx8154b),8154 Bracken Creek Drive,100,2021-10-01,2027-03-31,65.9,19.6,,35510.0,,"Tormax USA, Inc (t0000666)",Industrial Net,66.0,3.75,21542.73,0.61,258512.76,7.28,2.39,0,0,Fund 2
FUND 2,xtx8154b,8154 Bracken Creek Drive (xtx8154b),8154 Bracken Creek Drive,200,2023-10-01,2034-01-31,124.0,101.7,,25100.0,,"Dana Safety Supply, Inc. (t0001051)",Industrial Net,124.0,1.75,22405.93,0.89,268871.16,10.71,2.29,0,0,Fund 2
FUND 2,xtxball,9615 Ball Street (xtxball),9615 Ball Street,9615,2023-04-01,2028-05-31,62.0,33.7,,29772.0,,Custom Piping System (t0001003),Industrial Net,62.0,2.25,28847.08,0.97,346164.96,11.63,4.2,0,0,Fund 2
FUND 2,xtxglen,3113 Glenfield Avenue (xtxglen),3113 Glenfield Avenue,3113,2021-10-01,2026-09-30,60.0,13.7,,115200.0,,"TradeForce, Inc (t0000543)",Industrial Net,60.0,3.75,39863,0.35,478356,4.15,1.26,0,0,Fund 2
FUND 2,xtxmorto,4000 Dan Morton Dr (xtxmorto),4000 Dan Morton Dr,100,2019-11-01,2030-02-28,123.9,54.6,0.0,77536.0,,"TexPac Hide & Skin, LTD (t0000522)",Industrial Net,124.0,5.67,27460.67,0.35,329528.04,4.25,1.47,0,0,Fund 2
FUND 2,xtxmorto,4000 Dan Morton Dr (xtxmorto),4000 Dan Morton Dr,106,2020-09-01,2031-02-28,125.9,66.6,,132113.0,,"Sugaright, LLC (t0000526)",Industrial Net,126.0,4.83,49949.53,0.38,599394.36,4.54,1.46,0,0,Fund 2
FUND 2,xtxritti,4728 Goldfield Drive  (xtxritti),4728 Goldfield Drive,"1,  2",2018-11-01,2028-12-31,122.0,40.7,,16490.0,,"DFW Movers & Erectors, Inc (t0000530)",Industrial Net,122.0,6.67,12510.98,0.76,150131.8,9.1,0.94,0.14,0,Fund 2
FUND 2,xtxritti,4728 Goldfield Drive  (xtxritti),4728 Goldfield Drive,"4,  5,  6",2021-02-15,2026-06-14,63.9,10.1,,26413.0,,"CJI Piping and Fabrication, LLC (t0000529)",Industrial Net,64.0,4.42,15644.15,0.59,187729.8,7.11,1.45,0,0,Fund 2
FUND 2,xtxritti,4728 Goldfield Drive  (xtxritti),4728 Goldfield Drive,7,2020-10-01,2025-09-30,60.0,1.7,,8809.0,,"Converse Technical Coatings, LLC (t0000528)",Industrial Net,60.0,4.75,5591.01,0.63,67092.12,7.62,1.77,0,0,Fund 2
FUND 2,xtxritti,4728 Goldfield Drive  (xtxritti),4728 Goldfield Drive,8,2018-04-01,2025-10-30,91.0,2.7,,17280.0,,Bakkavor Foods USA Inc. (t0000539),Industrial Net,90.0,7.25,10184.4,0.59,122212.8,7.07,1.78,0,0,Fund 2
FUND 2,xtxritti,4728 Goldfield Drive  (xtxritti),4728 Goldfield Drive,3,,,,,,8730.0,,VACANT,,,,,,,,,,,Fund 2
FUND 3,3ca00001,605-655 Hawaii Avenue (3ca00001),605-655 Hawaii Avenue,635,2025-03-07,2027-12-31,33.8,28.7,,8960.0,,More Prepared LLC (t0001431),Modified Gross,34.0,0.33,15018.95,1.68,180227.4,20.11,3.4,0,0,Fund 3
FUND 3,3ca00001,605-655 Hawaii Avenue (3ca00001),605-655 Hawaii Avenue,655,2025-03-07,2027-06-30,27.8,22.6,,8960.0,,"Garv, Inc.  (t0001433)",Modified Gross,28.0,0.33,12185.6,1.36,146227.2,16.32,3.43,0,0,Fund 3
FUND 3,3ca00001,605-655 Hawaii Avenue (3ca00001),605-655 Hawaii Avenue,605,,,,,,5724.0,,VACANT,,,,,,,,,,,Fund 3
FUND 3,3ca00001,605-655 Hawaii Avenue (3ca00001),605-655 Hawaii Avenue,615,,,,,,12579.0,,VACANT,,,,,,,,,,,Fund 3
FUND 3,3ca00002,2580 E. Philadelphia Street (3ca00002),2580 E. Philadelphia Street,,2025-04-08,2027-01-31,21.8,17.7,0.0,0.0,,** Sandwox Abrasive Inc. (t0001468),Industrial Net,22.0,0.25,10142.06,0,121704.72,0,0,0,0,Fund 3
FUND 3,3ca00002,2580 E. Philadelphia Street (3ca00002),2580 E. Philadelphia Street,A-C,2025-04-08,2028-03-31,35.7,31.7,,17243.0,,"Diagnostic Solutions International, LLC (t0001464)",Industrial Net,36.0,0.25,27303.19,1.58,327638.28,19,6.62,0.13,0,Fund 3
FUND 3,3ca00002,2580 E. Philadelphia Street (3ca00002),2580 E. Philadelphia Street,D,2025-04-08,2026-10-31,18.8,14.7,,6034.0,,Biloban Inc. (t0001466),Industrial Net,19.0,0.25,9413.04,1.56,112956.48,18.72,6.68,0.13,0,Fund 3
FUND 3,3ca00002,2580 E. Philadelphia Street (3ca00002),2580 E. Philadelphia Street,E,2025-04-08,2025-07-31,3.7,0.0,,7749.0,,SMI Global LLC and Artrix Innovation Inc. (t0001465),Industrial Net,4.0,0.25,16107.54,2.08,193290.48,24.94,2.36,0,0,Fund 3
FUND 3,3ca00002,2580 E. Philadelphia Street (3ca00002),2580 E. Philadelphia Street,D-2260,2025-04-08,2026-02-28,10.7,6.6,0.0,6634.0,,** Pivot Studio LLC (t0001469),Industrial Net,11.0,0.25,11695.8,1.76,140349.6,21.16,6.32,0,0,Fund 3
FUND 3,3ca00002,2580 E. Philadelphia Street (3ca00002),2580 E. Philadelphia Street,F-2260,2025-04-08,2027-10-31,30.7,26.7,0.0,6080.0,,"** KGPCo Services, L.L.C. (t0001470)",Industrial Net,31.0,0.25,6992,1.15,83904,13.8,6.1,0,0,Fund 3
FUND 3,3ca00003,2260 S. Archibald Street (3ca00003),2260 S. Archibald Street,A,2025-04-08,2026-03-31,11.7,7.7,,6725.0,,Lauxes Grates Corp. (t0001474),Industrial Net,12.0,0.25,12159.47,1.81,145913.64,21.7,6.29,0.03,0,Fund 3
FUND 3,3ca00003,2260 S. Archibald Street (3ca00003),2260 S. Archibald Street,C,2025-04-08,2028-05-31,37.7,33.7,,6184.0,,Edgardo Padilla (t0001488),Industrial Net,38.0,0.25,0,0,0,0,6.12,0,0,Fund 3
FUND 3,3ca00003,2260 S. Archibald Street (3ca00003),2260 S. Archibald Street,D,2025-04-08,2026-02-28,10.7,6.6,,6634.0,,Pivot Studio LLC (t0001473),Industrial Net,11.0,0.25,11695.8,1.76,140349.6,21.16,6.29,0.03,0,Fund 3
FUND 3,3ca00003,2260 S. Archibald Street (3ca00003),2260 S. Archibald Street,E,2025-04-08,2027-01-31,21.8,17.7,,6634.0,,Sandwox Abrasive Inc. (t0001472),Industrial Net,22.0,0.25,10142.06,1.53,121704.72,18.35,6.26,0.03,0,Fund 3
FUND 3,3ca00003,2260 S. Archibald Street (3ca00003),2260 S. Archibald Street,F,2025-04-08,2027-10-31,30.7,26.7,,6080.0,,"KGPCo Services, L.L.C. (t0001475)",Industrial Net,31.0,0.25,6992,1.15,83904,13.8,6.07,0,0,Fund 3
FUND 3,3ca00003,2260 S. Archibald Street (3ca00003),2260 S. Archibald Street,B,,,,,,6184.0,,VACANT,,,,,,,,,,,Fund 3
FUND 3,3ca00004,1920 South Rochester Avenue (3ca00004),1920 South Rochester Avenue,102-103,2025-04-08,2026-05-31,13.7,9.7,,11073.0,,"GC OPCO, LLC (t0001484)",Industrial Net,14.0,0.25,11465.73,1.04,137588.76,12.43,2.65,0,0,Fund 3
FUND 3,3ca00004,1920 South Rochester Avenue (3ca00004),1920 South Rochester Avenue,104,2025-04-08,2026-12-31,20.8,16.7,,5736.0,,"Emerging Acquisitions, LLC  (t0001477)",Modified Gross,21.0,0.25,8836.73,1.54,106040.76,18.49,0.46,0,0,Fund 3
FUND 3,3ca00004,1920 South Rochester Avenue (3ca00004),1920 South Rochester Avenue,105,2025-04-08,2027-09-30,29.7,25.7,,5598.0,,"Nutrigent, Inc.  (t0001476)",Industrial Net,30.0,0.25,5877.9,1.05,70534.8,12.6,5.15,0.9,0,Fund 3
FUND 3,3ca00004,1920 South Rochester Avenue (3ca00004),1920 South Rochester Avenue,100,,,,,,5843.0,,VACANT,,,,,,,,,,,Fund 3
FUND 3,3ca00005,1930 S. Rochester Avenue (3ca00005),1930 S. Rochester Avenue,101,2025-04-08,2027-12-31,32.8,28.7,,7870.0,,"Meyer Logistics, Inc. (t0001485)",Industrial Net,33.0,0.25,10467.1,1.33,125605.2,15.96,5.68,0.47,0,Fund 3
FUND 3,3ca00005,1930 S. Rochester Avenue (3ca00005),1930 S. Rochester Avenue,102,2025-04-08,2026-09-30,17.7,13.7,,7693.0,,Blue Truck Logistics Inc. (t0001480),Industrial Net,18.0,0.25,13201.19,1.72,158414.28,20.59,5.85,0.58,0,Fund 3
FUND 3,3ca00005,1930 S. Rochester Avenue (3ca00005),1930 S. Rochester Avenue,103,2025-04-08,2028-12-31,44.8,40.7,,7500.0,,"Todaytec, LLC (t0001494)",Industrial Net,45.0,0.25,12870,1.72,154440,20.59,5.82,0.58,0,Fund 3
FUND 3,3ca00005,1930 S. Rochester Avenue (3ca00005),1930 S. Rochester Avenue,104,2025-04-08,2027-07-31,27.7,23.7,,7531.0,,"Tahus Trucking, Inc. (t0001493)",Industrial Net,28.0,0.25,10181.91,1.35,122182.92,16.22,5.67,0.53,0,Fund 3
FUND 3,3ca00005,1930 S. Rochester Avenue (3ca00005),1930 S. Rochester Avenue,105-106,2025-04-08,2025-09-30,5.7,1.7,,15386.0,,Universal Express Transportation Inc. (t0001496),Industrial Net,6.0,0.25,27140.9,1.76,325690.8,21.17,5.75,0.58,0,Fund 3
FUND 3,3ca00005,1930 S. Rochester Avenue (3ca00005),1930 S. Rochester Avenue,107-108,2025-04-08,2026-08-31,16.8,12.7,,15031.0,,LZ Logistics Inc. (t0001486),Industrial Net,17.0,0.25,25793.2,1.72,309518.4,20.59,5.82,0.58,0,Fund 3
FUND 3,3ca00005,1930 S. Rochester Avenue (3ca00005),1930 S. Rochester Avenue,109,2025-04-08,2026-06-30,14.7,10.6,,7446.0,,Pumei Logistics Inc. (t0001492),Industrial Net,15.0,0.25,10052.1,1.35,120625.2,16.2,5.69,0.47,0,Fund 3
FUND 3,3ca00005,1930 S. Rochester Avenue (3ca00005),1930 S. Rochester Avenue,110,2025-04-08,2027-09-30,29.7,25.7,,7446.0,,"UNIC Industrial & Trading Corp., USA  (t0001495)",Industrial Net,30.0,0.25,13134.74,1.76,157616.88,21.17,6.37,0.58,0,Fund 3
FUND 3,3ca00005,1930 S. Rochester Avenue (3ca00005),1930 S. Rochester Avenue,111,2025-04-08,2027-08-31,28.7,24.7,,7500.0,,Bonfire Production Corp (t0001481),Industrial Net,29.0,0.25,9516,1.27,114192,15.23,5.65,0.58,0,Fund 3
FUND 3,3ca00005,1930 S. Rochester Avenue (3ca00005),1930 S. Rochester Avenue,112,2025-04-08,2028-04-30,36.7,32.7,,7531.0,,"Brothers Distro, Inc. (t0001500)",Industrial Net,37.0,0.25,11070.57,1.47,132846.84,17.64,5.73,0.47,0,Fund 3
FUND 3,3ca00005,1930 S. Rochester Avenue (3ca00005),1930 S. Rochester Avenue,113,2025-04-08,2025-12-31,8.8,4.7,,7693.0,,"Northern Safety Co., Inc. (t0001489)",Industrial Net,9.0,0.25,13994.53,1.82,167934.36,21.83,5.86,0.58,0,Fund 3
FUND 3,3ca00005,1930 S. Rochester Avenue (3ca00005),1930 S. Rochester Avenue,114,2025-04-08,2027-08-31,28.7,24.7,,7693.0,,"Fantasia Trading, LLC (t0001483)",Industrial Net,29.0,0.25,10000.9,1.3,120010.8,15.6,5.65,0.53,0,Fund 3
FUND 3,3ca00005,1930 S. Rochester Avenue (3ca00005),1930 S. Rochester Avenue,115,2025-04-08,2028-04-30,36.7,32.7,,7531.0,,"On Time Express, LLC  (t0001497)",Industrial Net,37.0,0.25,10543.4,1.4,126520.8,16.8,5.71,0.47,0,Fund 3
FUND 3,3ca00005,1930 S. Rochester Avenue (3ca00005),1930 S. Rochester Avenue,116,2025-04-08,2027-10-31,30.7,26.7,,7500.0,,BWGT Logistics LLC (t0001482),Industrial Net,31.0,0.25,10350,1.38,124200,16.56,5.7,0.53,0,Fund 3
FUND 3,3ca00005,1930 S. Rochester Avenue (3ca00005),1930 S. Rochester Avenue,117,2025-04-08,2026-09-30,17.7,13.7,,7693.0,,"On Time Express LLC, and Titan Trans Logistics Inc (t0001490)",Industrial Net,18.0,0.25,13358.42,1.74,160301.04,20.84,2.38,3.74,0,Fund 3
FUND 3,3ca00005,1930 S. Rochester Avenue (3ca00005),1930 S. Rochester Avenue,118,2025-04-08,2027-12-31,32.8,28.7,,7693.0,,Champion Professional Unloading Logistics Inc (t0001498),Industrial Net,33.0,0.25,10385.55,1.35,124626.6,16.2,5.69,0.53,0,Fund 3
FUND 3,3ca00005,1930 S. Rochester Avenue (3ca00005),1930 S. Rochester Avenue,119,2025-04-08,2027-07-31,27.7,23.7,,7869.0,,"MV Transportation, Inc. (t0001487)",Modified Gross,28.0,0.25,12795.82,1.63,153549.84,19.51,2.38,0,0,Fund 3
FUND 3,3fl00001,14735 NW 25th Court (3fl00001),14735 NW 25th Court,14735,2022-05-06,2025-10-31,41.9,2.7,,25327.0,,"Caricom Freight Consolidators, Inc. (t0000782)",Industrial Net,42.0,3.17,22713.93,0.9,272567.16,10.76,5.14,0,0,Fund 3
